DATE,WILLLRGCAPVAL
2002-11-11,19898.70
2002-11-12,19969.54
2002-11-13,19947.53
2002-11-14,20396.02
2002-11-15,20575.42
2002-11-18,20442.63
2002-11-19,20388.16
2002-11-20,20714.31
2002-11-21,21137.36
2002-11-22,21081.18
2002-11-25,21146.04
2002-11-26,20777.52
2002-11-27,21319.51
2002-11-28,.
2002-11-29,21317.42
2002-12-02,21228.89
2002-12-03,20964.06
2002-12-04,20887.72
2002-12-05,20704.59
2002-12-06,20868.36
2002-12-09,20469.32
2002-12-10,20703.43
2002-12-11,20733.65
2002-12-12,20669.99
2002-12-13,20486.78
2002-12-16,20919.86
2002-12-17,20772.14
2002-12-18,20548.89
2002-12-19,20398.94
2002-12-20,20667.06
2002-12-23,20679.52
2002-12-24,20563.61
2002-12-25,.
2002-12-26,20579.63
2002-12-27,20271.14
2002-12-30,20360.06
2002-12-31,20400.83
2003-01-01,.
2003-01-02,21015.42
2003-01-03,21001.26
2003-01-06,21522.78
2003-01-07,21291.28
2003-01-08,21004.88
2003-01-09,21322.24
2003-01-10,21287.36
2003-01-13,21263.30
2003-01-14,21344.10
2003-01-15,21056.75
2003-01-16,21031.67
2003-01-17,20829.70
2003-01-20,.
2003-01-21,20501.34
2003-01-22,20309.35
2003-01-23,20403.05
2003-01-24,19887.53
2003-01-27,19555.29
2003-01-28,19770.98
2003-01-29,19919.29
2003-01-30,19527.58
2003-01-31,19864.48
2003-02-03,19959.97
2003-02-04,19773.65
2003-02-05,19661.56
2003-02-06,19506.21
2003-02-07,19332.01
2003-02-10,19469.87
2003-02-11,19274.26
2003-02-12,19035.04
2003-02-13,19025.43
2003-02-14,19364.22
2003-02-17,.
2003-02-18,19689.03
2003-02-19,19532.85
2003-02-20,19351.93
2003-02-21,19560.59
2003-02-24,19252.26
2003-02-25,19364.62
2003-02-26,19146.71
2003-02-27,19335.63
2003-02-28,19405.97
2003-03-03,19322.67
2003-03-04,19035.56
2003-03-05,19171.68
2003-03-06,18966.55
2003-03-07,19063.33
2003-03-10,18605.98
2003-03-11,18459.96
2003-03-12,18490.40
2003-03-13,19042.27
2003-03-14,19080.95
2003-03-17,19682.98
2003-03-18,19742.77
2003-03-19,19893.05
2003-03-20,19945.68
2003-03-21,20390.08
2003-03-24,19705.88
2003-03-25,19901.01
2003-03-26,19793.35
2003-03-27,19755.62
2003-03-28,19684.90
2003-03-31,19344.59
2003-04-01,19577.66
2003-04-02,20032.71
2003-04-03,19841.87
2003-04-04,19893.63
2003-04-07,19937.22
2003-04-08,19863.97
2003-04-09,19649.74
2003-04-10,19764.03
2003-04-11,19702.77
2003-04-14,20080.86
2003-04-15,20188.05
2003-04-16,19965.62
2003-04-17,20252.13
2003-04-18,.
2003-04-21,20226.91
2003-04-22,20639.20
2003-04-23,20884.04
2003-04-24,20702.33
2003-04-25,20419.12
2003-04-28,20785.52
2003-04-29,20854.90
2003-04-30,20881.74
2003-05-01,20874.68
2003-05-02,21207.20
2003-05-05,21132.74
2003-05-06,21309.15
2003-05-07,21260.74
2003-05-08,21052.88
2003-05-09,21341.39
2003-05-12,21610.20
2003-05-13,21588.40
2003-05-14,21550.49
2003-05-15,21708.61
2003-05-16,21706.87
2003-05-19,21256.59
2003-05-20,21266.32
2003-05-21,21445.25
2003-05-22,21664.06
2003-05-23,21816.00
2003-05-26,.
2003-05-27,22199.82
2003-05-28,22189.50
2003-05-29,22100.40
2003-05-30,22491.95
2003-06-02,22640.80
2003-06-03,22719.08
2003-06-04,23070.23
2003-06-05,23192.27
2003-06-06,23173.86
2003-06-09,22881.15
2003-06-10,23049.43
2003-06-11,23319.92
2003-06-12,23372.65
2003-06-13,23110.87
2003-06-16,23514.00
2003-06-17,23460.68
2003-06-18,23402.05
2003-06-19,23090.38
2003-06-20,23127.40
2003-06-23,22828.76
2003-06-24,22887.99
2003-06-25,22717.45
2003-06-26,22939.09
2003-06-27,22772.78
2003-06-30,22752.06
2003-07-01,22892.30
2003-07-02,23127.20
2003-07-03,22956.49
2003-07-04,.
2003-07-07,23294.15
2003-07-08,23316.61
2003-07-09,23231.34
2003-07-10,22948.78
2003-07-11,23143.08
2003-07-14,23270.15
2003-07-15,23159.24
2003-07-16,23004.11
2003-07-17,22785.05
2003-07-18,23074.84
2003-07-21,22777.74
2003-07-22,23048.37
2003-07-23,23020.18
2003-07-24,22897.51
2003-07-25,23240.22
2003-07-28,23207.79
2003-07-29,23097.08
2003-07-30,23047.66
2003-07-31,23111.03
2003-08-01,22909.07
2003-08-04,22955.55
2003-08-05,22572.04
2003-08-06,22668.64
2003-08-07,22771.76
2003-08-08,22879.42
2003-08-11,22922.03
2003-08-12,23155.75
2003-08-13,23052.74
2003-08-14,23239.85
2003-08-15,23229.91
2003-08-18,23402.96
2003-08-19,23458.61
2003-08-20,23443.12
2003-08-21,23514.15
2003-08-22,23244.49
2003-08-25,23212.76
2003-08-26,23278.58
2003-08-27,23313.84
2003-08-28,23482.26
2003-08-29,23626.63
2003-09-01,.
2003-09-02,23909.87
2003-09-03,23973.07
2003-09-04,23980.01
2003-09-05,23888.63
2003-09-08,24112.59
2003-09-09,23916.21
2003-09-10,23599.44
2003-09-11,23695.29
2003-09-12,23757.15
2003-09-15,23653.01
2003-09-16,23912.74
2003-09-17,23855.25
2003-09-18,24174.75
2003-09-19,24132.46
2003-09-22,23856.02
2003-09-23,23928.85
2003-09-24,23568.15
2003-09-25,23425.55
2003-09-26,23298.13
2003-09-29,23503.78
2003-09-30,23331.23
2003-10-01,23800.28
2003-10-02,23856.64
2003-10-03,24100.07
2003-10-06,24250.21
2003-10-07,24346.97
2003-10-08,24248.92
2003-10-09,24341.78
2003-10-10,24372.36
2003-10-13,24549.56
2003-10-14,24621.88
2003-10-15,24588.46
2003-10-16,24666.76
2003-10-17,24446.97
2003-10-20,24549.78
2003-10-21,24559.34
2003-10-22,24245.85
2003-10-23,24339.44
2003-10-24,24284.10
2003-10-27,24370.96
2003-10-28,24682.92
2003-10-29,24773.96
2003-10-30,24793.80
2003-10-31,24888.42
2003-11-03,25085.60
2003-11-04,24969.06
2003-11-05,24940.42
2003-11-06,25062.22
2003-11-07,25005.08
2003-11-10,24849.01
2003-11-11,24812.73
2003-11-12,25086.64
2003-11-13,25083.72
2003-11-14,24909.43
2003-11-17,24737.24
2003-11-18,24497.52
2003-11-19,24654.68
2003-11-20,24465.08
2003-11-21,24579.82
2003-11-24,24917.00
2003-11-25,25029.45
2003-11-26,25197.77
2003-11-27,.
2003-11-28,25195.26
2003-12-01,25464.88
2003-12-02,25426.58
2003-12-03,25401.36
2003-12-04,25498.27
2003-12-05,25305.34
2003-12-08,25468.01
2003-12-09,25260.77
2003-12-10,25222.71
2003-12-11,25497.29
2003-12-12,25578.40
2003-12-15,25437.17
2003-12-16,25609.69
2003-12-17,25662.73
2003-12-18,25997.93
2003-12-19,26004.64
2003-12-22,26134.29
2003-12-23,26215.42
2003-12-24,26174.09
2003-12-25,.
2003-12-26,26229.76
2003-12-29,26558.68
2003-12-30,26585.86
2003-12-31,26633.34
2004-01-01,.
2004-01-02,26563.22
2004-01-05,26873.36
2004-01-06,26880.55
2004-01-07,26929.70
2004-01-08,27101.27
2004-01-09,26863.94
2004-01-12,26980.89
2004-01-13,26858.32
2004-01-14,27072.81
2004-01-15,27135.29
2004-01-16,27253.26
2004-01-19,.
2004-01-20,27300.39
2004-01-21,27459.96
2004-01-22,27312.66
2004-01-23,27259.40
2004-01-26,27543.52
2004-01-27,27324.13
2004-01-28,27001.46
2004-01-29,27077.88
2004-01-30,27005.86
2004-02-02,27073.19
2004-02-03,27054.86
2004-02-04,26797.41
2004-02-05,26895.64
2004-02-06,27238.33
2004-02-09,27233.23
2004-02-10,27399.69
2004-02-11,27714.38
2004-02-12,27576.85
2004-02-13,27425.97
2004-02-16,.
2004-02-17,27708.21
2004-02-18,27593.39
